[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
236:(08/24),0.00,0.00,0.00,0.00,0.01,0.08,0.23,0.31,0.37,0.46,0.48,0.43,0.42,0.39,0.44,0.30,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,4.1
237:(08/25),0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.27,0.40,0.52,0.63,0.54,0.67,0.57,0.45,0.23,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,4.6
238:(08/26),0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.11,0.28,0.41,0.41,0.39,0.55,0.51,0.32,0.22,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.00,3.4
239:(08/27),0.00,0.00,0.00,0.00,0.01,0.08,0.23,0.37,0.47,0.56,0.66,0.65,0.61,0.54,0.44,0.30,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,5.1
240:(08/28),0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.35,0.45,0.51,0.57,0.65,0.64,0.55,0.44,0.29,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,4.9
241:(08/29),0.00,0.00,0.00,0.00,0.01,0.07,0.18,0.38,0.52,0.60,0.54,0.64,0.61,0.52,0.41,0.29,0.13,0.02,0.00,0.00,0.00,0.00,0.00,0.00,4.9
242:(08/30),0.00,0.00,0.00,0.00,0.01,0.09,0.21,0.37,0.50,0.59,0.62,0.68,0.65,0.55,0.43,0.26,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,5.1
243:(08/31),0.00,0.00,0.00,0.00,0.01,0.07,0.22,0.34,0.44,0.56,0.64,0.69,0.64,0.56,0.42,0.28,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,5.0
244:(09/01),0.00,0.00,0.00,0.00,0.00,0.07,0.23,0.37,0.38,0.28,0.56,0.69,0.57,0.42,0.23,0.20,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,4.1
245:(09/02),0.00,0.00,0.00,0.00,0.01,0.09,0.20,0.33,0.43,0.49,0.51,0.68,0.57,0.42,0.20,0.07,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,4.1
246:(09/03),0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.27,0.50,0.60,0.68,0.67,0.58,0.52,0.39,0.27,0.13,0.02,0.00,0.00,0.00,0.00,0.00,0.00,4.8
247:(09/04),0.00,0.00,0.00,0.00,0.00,0.08,0.22,0.34,0.50,0.61,0.64,0.59,0.54,0.47,0.39,0.27,0.13,0.02,0.00,0.00,0.00,0.00,0.00,0.00,4.8
248:(09/05),0.00,0.00,0.00,0.00,0.00,0.08,0.20,0.31,0.45,0.59,0.66,0.68,0.63,0.52,0.34,0.25,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,4.8
249:(09/06),0.00,0.00,0.00,0.00,0.00,0.06,0.22,0.35,0.44,0.61,0.63,0.68,0.54,0.45,0.41,0.26,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,4.8
250:(09/07),0.00,0.00,0.00,0.00,0.00,0.08,0.21,0.29,0.49,0.57,0.67,0.59,0.55,0.53,0.37,0.25,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,4.7
251:(09/08),0.00,0.00,0.00,0.00,0.00,0.05,0.18,0.24,0.23,0.46,0.66,0.65,0.61,0.53,0.40,0.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.2
252:(09/09),0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.30,0.38,0.44,0.51,0.65,0.62,0.51,0.37,0.25,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,4.4
253:(09/10),0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.21,0.42,0.44,0.66,0.65,0.60,0.30,0.35,0.20,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,4.1
254:(09/11),0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.14,0.14,0.30,0.33,0.38,0.34,0.27,0.24,0.24,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,2.8
255:(09/12),0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.22,0.38,0.50,0.62,0.49,0.44,0.37,0.19,0.09,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.5
256:(09/13),0.00,0.00,0.00,0.00,0.00,0.07,0.21,0.25,0.17,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.8
257:(09/14),0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.06,0.08,0.14,0.19,0.27,0.30,0.29,0.27,0.18,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.9
258:(09/15),0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.03,0.00,0.00,0.13,0.17,0.16,0.13,0.20,0.16,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.1
259:(09/16),0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.19,0.24,0.27,0.37,0.43,0.42,0.32,0.34,0.16,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.9
260:(09/17),0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.34,0.48,0.57,0.64,0.62,0.55,0.38,0.30,0.21,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.4
261:(09/18),0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.26,0.28,0.43,0.61,0.63,0.53,0.46,0.28,0.22,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.0
262:(09/19),0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.32,0.45,0.44,0.46,0.30,0.33,0.28,0.24,0.20,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
263:(09/20),0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.30,0.32,0.33,0.37,0.41,0.39,0.34,0.28,0.20,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
264:(09/21),0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.29,0.45,0.57,0.42,0.41,0.58,0.42,0.30,0.19,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.0
265:(09/22),0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.26,0.36,0.32,0.21,0.16,0.12,0.10,0.09,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.9
266:(09/23),0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.10,0.23,0.37,0.41,0.55,0.49,0.47,0.32,0.20,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
267:(09/24),0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.11,0.14,0.17,0.14,0.12,0.07,0.06,0.05,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.0
268:(09/25),0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.16,0.21,0.44,0.62,0.55,0.46,0.25,0.17,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2
269:(09/26),0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.31,0.24,0.30,0.35,0.54,0.54,0.40,0.24,0.11,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
270:(09/27),0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.14,0.17,0.20,0.26,0.22,0.17,0.12,0.08,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.5
271:(09/28),0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.07,0.10,0.11,0.13,0.15,0.12,0.09,0.07,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.0
272:(09/29),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.14,0.16,0.25,0.28,0.26,0.22,0.22,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.9
273:(09/30),0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.24,0.33,0.53,0.58,0.51,0.38,0.30,0.21,0.16,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.4
274:(10/01),0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.28,0.43,0.54,0.59,0.58,0.48,0.31,0.17,0.12,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7
275:(10/02),0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.04,0.08,0.24,0.33,0.30,0.54,0.29,0.21,0.14,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.3
