[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
345:(12/11),0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.14,0.14,1.57,2.39,1.83,0.90,1.59,1.15,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.8
346:(12/12),0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.49,0.41,0.53,0.75,0.76,0.92,0.34,0.17,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.3
347:(12/13),0.00,0.00,0.00,0.00,0.00,0.00,0.23,1.27,2.20,2.50,2.66,2.75,2.50,1.91,1.20,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.0
348:(12/14),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.85,1.78,2.14,1.56,0.19,0.42,0.81,1.31,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.6
349:(12/15),0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.60,0.63,1.05,1.00,1.32,1.27,0.98,0.51,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.8
350:(12/16),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.20,0.20,0.16,0.11,0.11,0.12,0.34,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.5
351:(12/17),0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.21,2.26,2.59,2.68,2.63,2.47,2.12,1.52,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.7
352:(12/18),0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.74,2.03,2.26,1.41,0.89,1.62,1.42,1.01,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.0
353:(12/19),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.86,1.62,1.84,1.90,1.93,1.58,1.20,0.86,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.3
354:(12/20),0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.98,2.16,2.67,2.94,2.96,2.89,2.59,1.86,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.7
355:(12/21),0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.25,2.79,3.08,3.18,3.16,3.10,2.68,1.97,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.6
356:(12/22),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.61,1.24,1.57,1.77,1.86,1.79,1.59,1.11,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.2
357:(12/23),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.59,1.44,2.06,1.60,1.34,2.16,1.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.6
358:(12/24),0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.25,2.84,3.12,3.26,3.25,3.07,2.78,2.22,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.5
359:(12/25),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.60,0.25,0.16,0.17,0.42,1.80,1.55,1.11,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.9
360:(12/26),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.65,1.91,2.69,2.36,2.35,3.04,2.69,1.89,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.8
361:(12/27),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.58,0.37,0.64,0.67,0.39,0.70,0.22,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.1
362:(12/28),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.99,2.08,2.43,2.43,2.19,2.05,1.79,1.20,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.9
363:(12/29),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.94,1.59,1.60,1.60,1.39,1.15,0.98,0.67,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.2
364:(12/30),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.89,1.79,1.85,1.87,1.94,1.76,1.08,0.31,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.8
365:(12/31),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.13,1.88,2.72,1.96,2.64,2.91,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.8
