[ß],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
103:(04/13),0.0,0.0,0.0,0.0,0.0,-94.5,-85.8,-76.0,-63.9,-46.9,-22.0,9.9,38.3,58.0,71.6,82.1,91.2,99.8,0.0,0.0,0.0,0.0,0.0,0.0
104:(04/14),0.0,0.0,0.0,0.0,0.0,-94.8,-86.0,-76.3,-64.2,-47.2,-22.1,10.2,38.8,58.4,72.0,82.5,91.5,100.1,0.0,0.0,0.0,0.0,0.0,0.0
105:(04/15),0.0,0.0,0.0,0.0,0.0,-95.1,-86.3,-76.6,-64.5,-47.5,-22.2,10.4,39.2,58.9,72.5,82.9,91.9,100.5,0.0,0.0,0.0,0.0,0.0,0.0
106:(04/16),0.0,0.0,0.0,0.0,0.0,-95.3,-86.6,-76.9,-64.8,-47.8,-22.3,10.7,39.7,59.4,72.9,83.2,92.2,100.8,0.0,0.0,0.0,0.0,0.0,0.0
107:(04/17),0.0,0.0,0.0,0.0,0.0,-95.6,-86.9,-77.2,-65.1,-48.1,-22.5,10.9,40.1,59.8,73.3,83.6,92.5,101.1,0.0,0.0,0.0,0.0,0.0,0.0
108:(04/18),0.0,0.0,0.0,0.0,0.0,-95.9,-87.2,-77.5,-65.5,-48.4,-22.6,11.2,40.6,60.3,73.7,84.0,92.9,101.4,0.0,0.0,0.0,0.0,0.0,0.0
109:(04/19),0.0,0.0,0.0,0.0,0.0,-96.1,-87.4,-77.8,-65.8,-48.8,-22.7,11.5,41.1,60.7,74.1,84.3,93.2,101.7,0.0,0.0,0.0,0.0,0.0,0.0
110:(04/20),0.0,0.0,0.0,0.0,0.0,-96.4,-87.7,-78.1,-66.1,-49.1,-22.9,11.7,41.5,61.1,74.5,84.7,93.5,102.1,0.0,0.0,0.0,0.0,0.0,0.0
111:(04/21),0.0,0.0,0.0,0.0,0.0,-96.6,-88.0,-78.4,-66.4,-49.4,-23.0,12.0,42.0,61.6,74.8,85.0,93.8,102.4,0.0,0.0,0.0,0.0,0.0,0.0
112:(04/22),0.0,0.0,0.0,0.0,0.0,-96.9,-88.3,-78.7,-66.8,-49.7,-23.1,12.2,42.4,62.0,75.2,85.4,94.2,102.7,0.0,0.0,0.0,0.0,0.0,0.0
113:(04/23),0.0,0.0,0.0,0.0,0.0,-97.1,-88.6,-79.0,-67.1,-50.0,-23.3,12.5,42.9,62.5,75.6,85.7,94.5,103.0,0.0,0.0,0.0,0.0,0.0,0.0
