[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
345:(12/11),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.10,1.27,2.03,1.56,0.73,1.19,0.75,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.3
346:(12/12),0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.31,0.30,0.43,0.64,0.65,0.75,0.25,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.9
347:(12/13),0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.81,1.62,2.03,2.26,2.34,2.05,1.43,0.78,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.8
348:(12/14),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.54,1.31,1.73,1.33,0.16,0.34,0.61,0.86,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.2
349:(12/15),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.38,0.46,0.85,0.85,1.13,1.04,0.74,0.34,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.0
350:(12/16),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.15,0.16,0.14,0.09,0.09,0.09,0.22,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.6
351:(12/17),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.77,1.67,2.10,2.28,2.25,2.03,1.60,1.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.4
352:(12/18),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.47,1.50,1.83,1.20,0.76,1.33,1.07,0.67,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.2
353:(12/19),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.55,1.19,1.49,1.62,1.65,1.30,0.91,0.57,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.5
354:(12/20),0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.62,1.59,2.16,2.50,2.53,2.38,1.97,1.23,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.9
355:(12/21),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.79,2.05,2.49,2.71,2.70,2.56,2.04,1.31,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.4
356:(12/22),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.39,0.91,1.27,1.51,1.59,1.48,1.21,0.74,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.5
357:(12/23),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.43,1.16,1.75,1.37,1.11,1.64,0.67,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.4
358:(12/24),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.79,2.08,2.52,2.77,2.78,2.54,2.12,1.48,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.0
359:(12/25),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.38,0.18,0.13,0.14,0.36,1.49,1.18,0.74,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.1
360:(12/26),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.41,1.40,2.17,2.00,2.01,2.51,2.05,1.26,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.5
361:(12/27),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.42,0.30,0.54,0.57,0.32,0.53,0.15,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.1
362:(12/28),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.62,1.52,1.96,2.06,1.87,1.69,1.37,0.80,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.3
363:(12/29),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.59,1.16,1.29,1.36,1.19,0.95,0.75,0.45,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.9
364:(12/30),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.55,1.30,1.49,1.58,1.66,1.45,0.82,0.21,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.2
365:(12/31),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.10,1.59,2.32,1.62,2.02,1.95,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.5
